#TEXT ID,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH
#Note: The # character at the beginning of a row is used to indicate a row header or comment. These rows will not be imported in the game.
GALLERY_BIO_HERO,<color=#ffa500ff>Gender:</color> Male\n<color=#ffa500ff>Race:</color> Human\n<color=#ffa500ff>Age:</color> 19\n<color=#ffa500ff>Date of birth:</color> August 1st\n<color=#ffa500ff>Place of Birth:</color> Gilday\n<color=#ffa500ff>Favorite things:</color> Apple Pie\n<color=#ffa500ff>Fun Fact:</color> He has a twin sister. The rivalry between them is legendary.,<color=#ffa500ff>Gender:</color> Male\n<color=#ffa500ff>Race:</color> Fairy\n<color=#ffa500ff>Age:</color> 142\n<color=#ffa500ff>Date of birth:</color> August 1st\n<color=#ffa500ff>Place of Birth:</color> Forest of Elvenhorn\n<color=#ffa500ff>Favorite things:</color> Violet flowers\n<color=#ffa500ff>Fun Fact:</color> Lily almost did not graduate from fairy school because she kept forgetting her spells.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_NAME_HEROINE,Heroine,Heroine,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_BIO_HEROINE,<color=#ffa500ff>Gender:</color> Female\n<color=#ffa500ff>Race:</color> Human\n<color=#ffa500ff>Age:</color> 19\n<color=#ffa500ff>Date of birth:</color> August 1st\n<color=#ffa500ff>Place of Birth:</color> Gilday\n<color=#ffa500ff>Favorite things:</color> Adventuring\n<color=#ffa500ff>Fun Fact:</color> She has a twin brother. The rivalry between them is legendary.,<color=#ffa500ff>Gender:</color> Male\n<color=#ffa500ff>Race:</color> Fairy\n<color=#ffa500ff>Age:</color> 142\n<color=#ffa500ff>Date of birth:</color> August 1st\n<color=#ffa500ff>Place of Birth:</color> Forest of Elvenhorn\n<color=#ffa500ff>Favorite things:</color> Violet flowers\n<color=#ffa500ff>Fun Fact:</color> Lily almost did not graduate from fairy school because she kept forgetting her spells.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_NAME_ZOMBIE,Zombie,Zombie,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_BIO_ZOMBIE,<color=#ffa500ff>Favorite hang out:</color> Cemeteries and old battlefields\n<color=#ffa500ff>Tips:</color> You can knock down a standing zombie by sliding into it. You can also use a <color=#19538E>Z-Nuke</color> power-up to knock down a whole bunch at once. You get 20 stars for each zombie toppled. You can't knock down a crawling zombie.\n<color=#ffa500ff>Favorite things:</color> Brains\n<color=#ffa500ff>Fun Fact:</color> Many have speculated on the origin of zombies. Some say<comma> that they are the result of an experiment gone horribly wrong performed by the evil wizard Zotaar. Others suspect that people who eat too much gluten turn into zombies. It's hard to tell who is telling the truth.,<color=#ffa500ff>Gender:</color> Male\n<color=#ffa500ff>Race:</color> Fairy\n<color=#ffa500ff>Age:</color> 142\n<color=#ffa500ff>Date of birth:</color> August 1st\n<color=#ffa500ff>Place of Birth:</color> Forest of Elvenhorn\n<color=#ffa500ff>Favorite things:</color> Violet flowers\n<color=#ffa500ff>Fun Fact:</color> Lily almost did not graduate from fairy school because she kept forgetting her spells.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
FB_HAVE_A_LIFE_MESSAGE,Here's a life! Have a great day!,Voici une vie ! Passe une belle journée !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_TITLE_EXTRA_LIFE,Send extra life!,Envoyer une vie !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_TEXT_EXTRA_LIFE,Send <first_name> an extra life.,Envoyer une vie à <first_name>.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_TEXT_NEXT_EPISODE, the next episode., le prochain episode.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
FB_HELP_UNLOCK_MESSAGE,I will help you unlock the next episode!,Je vais t'aider à déverrouiller le prochain épisode !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_TITLE_ASK_LIVES,Get more lives!,Obtenez des vies !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_ASK_FRIENDS,Ask friends,Demander à des amis,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_TITLE_ASK_FRIENDS,Ask friends,Demander à des amis,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_TITLE_UNLOCK_NOW,Unlock now!,Déverrouillez maintenant !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_TITLE_UNLOCK_LEVELS,Unlock more levels!,Déverrouillez plus de niveau !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_UNLOCK_NOW_PURCHASE_MESSAGE,Purchase instant access to the next exciting episode.,Achète instantanément l'accès au prochain épisode excitant.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
APP_REQUEST_MESSAGE_UNLOCK,Help me unlock the next episode!,Aide moi à débloquer le prochain épisode !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_TITLE_MESSAGE_CENTER,Your messages,Vos messages,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_TITLE_OFFER_LIVES,Help your friends by sending lives!,Aidez vos amis en leur envoyant des vies supplémentaires !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_TITLE_SETTINGS,Settings,Paramètres,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_BUTTON_FB_DISCONNECT,Logout,Déconnexion,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_BUTTON_CHECK_ALL,Check all,Tout choisir,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_BUTTON_ACCEPT,Accept,Acceptez,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_ASK_FRIENDS_UNLOCK_MESSAGE,Unlock more levels by asking your friends on Facebook for help.,Déverrouiller le prochain épisode en demandant de l'aide à vos amis Facebook.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_ASK_FRIENDS_LIFE_MESSAGE,Get more lives by asking your friends on Facebook for help.,Obtenez davantage de vies en demandant de l'aide à vos amis Facebook.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_TITLE_RECEIVED_GIFT,Gift received,Cadeau reçu,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_TEXT_RECEIVED_GIFT,offered you a life!,vous a offert une vie !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_TITLE_RECEIVED_HELP,You got help!,Tu as eu de l'aide !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_TEXT_RECEIVED_HELP,helped you unlock the next episode!,vous a aidé à déverrouiller le prochain épisode !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_TITLE_HELP_FRIEND,Help your friend!,Aide ton ami !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_TEXT_ASK_LIFE,asks you to send a life!,vous demande d'envoyer une vie !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_TEXT_ASK_UNLOCK,Help <first_name> to unlock <section_name>,Aide <first_name> à déverrouiller <section_name> !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MESSAGE_ENTRY_ERROR,Unknown app request type,Type de requête inconnu,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
